receiverID,receiverx,receivery,receivers,receivera,receiverdis,receiverdir,distance_to_nearest_def,defenderx,defendery,defenders,defendera,defenderdis,defenderdir,defenders_in_path,friends_in_path,pass_length
1,81.01554870605469,14.72665023803711,0.0,0,0.0,0,5.76479862148221,77.51353454589844,19.30582046508789,0.0,0,0.0,0,1,9,2.64239501953125
3,80.97045135498047,34.9991569519043,0.0,0,0.0,0,6.1646990372849055,76.85971069335938,30.40510368347168,0.0,0,0.0,0,0,0,2.6874923706054688
5,79.85990142822266,33.20756530761719,0.0,0,0.0,0,4.105476293972205,76.85971069335938,30.40510368347168,0.0,0,0.0,0,0,0,3.7980422973632812
10,80.0274658203125,18.66669464111328,0.0,0,0.0,0,2.5939029032229284,77.51353454589844,19.30582046508789,0.0,0,0.0,0,2,9,3.6304779052734375
11,83.59412384033203,21.01482963562012,0.0,0,0.0,0,5.795212973463959,77.83615112304688,21.670759201049805,0.0,0,0.0,0,2,9,0.06381988525390625
16,79.45670318603516,23.309852600097656,0.0,0,0.0,0,2.1224161206493024,77.87503051757812,24.725112915039062,0.0,0,0.0,0,1,0,4.201240539550781
18,80.61312866210938,27.8692569732666,0.0,0,0.0,0,2.9689891983225736,77.67337799072266,28.28490447998047,0.0,0,0.0,0,1,0,3.0448150634765625
20,80.1865234375,22.69603729248047,0.0,0,0.0,0,2.564263087383088,77.83615112304688,21.670759201049805,0.0,0,0.0,0,1,0,3.4714202880859375
21,80.31768035888672,21.286474227905277,0.0,0,0.0,0,2.5111077812217797,77.83615112304688,21.670759201049805,0.0,0,0.0,0,2,9,3.3402633666992188
22,80.16415405273438,26.21260643005371,0.0,0,0.0,0,2.7299676768080756,77.87503051757812,24.725112915039062,0.0,0,0.0,0,0,0,3.4937896728515625
